NazwaInstytucji,NrRozliczeniowy,Miejscowosc
Bank Polska Kasa Opieki Spółka Akcyjna,12406973,"Warszawa, ul. Żwirki i Wigury 31, 02-091"
Santander Bank Polska Spółka Akcyjna,15000044,"Warszawa, ul. Kasprzaka 2/8, 01-211"
Spółdzielczy Bank Rozwoju,87690002,"Szepietowo, ul. Kardynała Stefana Wyszyńskiego 3, 18-210"
Santander Bank Polska Spółka Akcyjna,15001201,"Poznań, ul. Jana H.Dąbrowskiego 129/131, 60-543"
POZNAŃSKI BANK SPÓŁDZIELCZY,90431070,"Poznań, ul. Bolesława Krzywoustego 3, 61-144"
Bank Polska Kasa Opieki Spółka Akcyjna,12406885,"Toruń, ul. Wielkie Garbary 7, 87-100"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10204476,"Siedlce, ul. Piłsudskiego 74, 08-110"
mBank Spółka Akcyjna,11420008,"Łódź, ul. Piłsudskiego 3, 90-368"
Bank Polska Kasa Opieki Spółka Akcyjna,12402904,"Bielsk Podlaski, ul. Mickiewicza 55, 17-100"
Bank Spółdzielczy Rzemiosła w Krakowie,94751013,"Jodłowa, Jodłowa 16, 39-225"
Bank Spółdzielczy w Starej Białej,90350007,"Strzelce, ul. Leśna 3, 99-307"
Bank Spółdzielczy w Trzebieszowie,92061019,"Kąkolewnica, Lubelska 7, 21-302"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10201853,"Gdynia, ul. Jerzego Waszyngtona 17, 81-342"
ING Bank Śląski Spółka Akcyjna,10501373,"Świętochłowice, ul. Bytomska 8, 41-600"
Bank Spółdzielczy Ziem Górskich KARPATIA,87910009,"Bukowina Tatrzańska, ul. Kościuszki 56, 34-530"
Bank Spółdzielczy w Zawadzkiem,89091058,"Gorzów Śląski, ul. Rynek 10, 46-310"
Bank Polska Kasa Opieki Spółka Akcyjna,12401268,"Gdańsk, ul. Garncarska 23, 80-894"
Bank Spółdzielczy w Kalwarii Zebrzydowskiej,81190001,"Kalwaria Zebrzydowska, ul. Jagiellońska 2, 34-130"
Bank Ochrony Środowiska Spółka Akcyjna,15401304,"Toruń, ul. Dominikańska 9, 87-100"
Bank Spółdzielczy w Oleśnicy,95841076,"Dziadowa Kłoda, ul. Kolejowa 1, 56-504"
BNP Paribas Bank Polska Spółka Akcyjna,17501178,"Bielsko-Biała, ul. Cechowa 22, 43-300"
Bank Spółdzielczy w Trzebieszowie,92061022,"Stoczek Łukowski, ul. Wojska Polskiego 7, 21-450"
Goldman Sachs Bank Europe SE Spółka Europejska Oddział w Polsce,28100005,"Warszawa, Plac Europejski 1, 00-844"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10203466,"Nowy Targ, Rynek 29/30, 34-400"
Santander Bank Polska Spółka Akcyjna,10902718,"Olsztyn, ul. Piłsudskiego 44A, 10-450"
Bank Spółdzielczy w Namysłowie,88901079,"Niemodlin, ul. Rynek 30, 49-100"
ING Bank Śląski Spółka Akcyjna,10501621,"Piekary Śląskie, ul. Bytomska 77, 41-940"
Bank Polska Kasa Opieki Spółka Akcyjna,12402340,"Sanok, ul. Kościuszki 4, 38-500"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10200188,"Łódź, ul. Aleksandrowska 47, 91-205"
Alior Bank Spółka Akcyjna,10600311,"Warszawa, ul. Łopuszańska 38D, 02-232"
Santander Bank Polska Spółka Akcyjna,10901160,"Ostrów Wielkopolski, Plac Bankowy 1, 63-400"
Santander Bank Polska Spółka Akcyjna,10901346,"Poznań, ul. Jugosłowiańska 10, 60-301"
Bank Millennium Spółka Akcyjna,11602228,"Gdańsk, ul. Wały Jagiellońskie 10/16, 80-887"
Bank Polska Kasa Opieki Spółka Akcyjna,12404445,"Kraków, ul. Zakopiańska 58, 30-418"
Powiatowy Bank Spółdzielczy w Opolu  Lubelskim,87340008,"Opole Lubelskie, ul. Stary Rynek 48, 24-300"
Bank Spółdzielczy w Gąbinie,90130003,"Gąbin, ul. Dobrzykowska 1, 09-530"
Bank Polska Kasa Opieki Spółka Akcyjna,12402513,"Świdnik, ul. Kard.S.Wyszyńskiego 15, 21-040"
Bank Spółdzielczy w Hajnówce,80710006,"Hajnówka, ul. Piłsudskiego 12, 17-200"
Bank Spółdzielczy w Ropczycach,91710004,"Ropczyce, ul. Rynek 13, 39-100"
Powiatowy Bank Spółdzielczy w Zamościu,96441075,"Krynice, ul. Lubelska 108, 22-610"
Bank Ochrony Środowiska Spółka Akcyjna,15400004,"Warszawa, ul. Żelazna 32, 00-832"
ING Bank Śląski Spółka Akcyjna,10501432,"Starachowice, ul. Krzosa 4, 27-200"
Bank Polska Kasa Opieki Spółka Akcyjna,12401633,"Opole, ul. Osmańczyka 15, 45-027"
Mazovia Bank Spółdzielczy,80030003,"Góra Kalwaria, ul. Pijarska 25, 05-530"
Bank Spółdzielczy w Brzesku,94530009,"Brzesko, ul. Kościuszki 3, 32-800"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10204564,"Wieluń, ul. Barycz 3, 98-300"
Bank Polska Kasa Opieki Spółka Akcyjna,12405208,"Bochnia, ul. Kazimierza Wielkiego 9, 32-700"
Santander Bank Polska Spółka Akcyjna,15001403,"Elbląg, Aleja Grunwaldzka 2, 82-300"
Bank Spółdzielczy w Lipsku,91350008,"Lipsko, ul. 1 Maja 23, 27-300"
Bank Spółdzielczy w Mielcu,91831028,"Czermin, Czermin 42, 39-304"
Bank Spółdzielczy w Ożarowie,94231023,"Tarłów, ul. Rynek 27, 27-515"
Spółdzielczy Bank Ludowy im.Ks.P.Wawrzyniaka,90841013,"Dolsk, ul. Kościelna 16, 63-140"
Bank Polska Kasa Opieki Spółka Akcyjna,12404634,"Kraków, Osiedle Tysiąclecia 42, 31-610"
Bank Spółdzielczy w Ostrowcu Świętokrzyskim,85071043,"Baćkowice, Baćkowice 86, 27-552"
Bank Spółdzielczy Pojezierza Międzychodzko - Sierakowskiego w Sierakowie,90820005,"Sieraków, ul. Chrobrego 6, 64-410"
Bank Polska Kasa Opieki Spółka Akcyjna,12401457,"Krosno, ul. Bieszczadzka 5, 38-400"
Bank Spółdzielczy w Gogolinie,88831031,"Prószków, ul. Rynek 8, 46-060"
Mikołowski Bank Spółdzielczy w Mikołowie,84600008,"Sośnicowice, ul. Gliwicka 30, 44-153"
Ikano Bank AB (publ) Spółka Akcyjna Oddział w Polsce,25500004,"Warszawa, ul. Postępu 14, 02-676"
Spółdzielczy Bank Powiatowy w Piaskach,86890007,"Piaski, ul. Lubelska 98, 21-050"
Santander Bank Polska Spółka Akcyjna,10901782,"Cieszyn, ul. Stary Targ 1, 43-400"
Bank Polska Kasa Opieki Spółka Akcyjna,12403174,"Płock, ul. Kolegialna 14A, 09-402"
Bank Polska Kasa Opieki Spółka Akcyjna,12402122,"Gdańsk, ul. Garncarska 23, 80-894"
Bank Spółdzielczy w Dynowie,90931020,"Dubiecko, ul. Rynek 1, 37-750"
Bank Spółdzielczy w Sokółce,80930000,"Sokółka, ul. Ściegiennego 16, 16-100"
Bank Spółdzielczy w Golubiu - Dobrzyniu,94890002,"Golub-Dobrzyń, ul. Rynek 34, 87-400"
Santander Bank Polska Spółka Akcyjna,15002224,"Stalowa Wola, ul. Generała Leopolda Okulickiego 16B, 37-450"
Bank Polska Kasa Opieki Spółka Akcyjna,12406191,"Warszawa, ul. Krucza 50, 00-025"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10201390,"Bielsko-Biała, ul. 11 Listopada 67, 43-300"
ING Bank Śląski Spółka Akcyjna,10500103,"Katowice, ul. Murckowska 16B, 40-265"
Bank Spółdzielczy w Słupcy,85440009,"Zagórów, ul. Pyzderska 7, 62-410"
Bank Spółdzielczy w Tczewie,83450006,"Tczew, ul. Ignacego Paderewskiego 1, 83-110"
Bank Polska Kasa Opieki Spółka Akcyjna,12404155,"Oświęcim, ul. Władysława Jagiełły 12, 32-600"
Bank Polska Kasa Opieki Spółka Akcyjna,12401486,"Lubin, ul. Bankowa 16A, 59-302"
Lubelski Bank Spółdzielczy,96140008,"Księżpol, ul. Biłgorajska 10, 23-415"
Mazurski Bank Spółdzielczy w Giżycku,93430005,"Giżycko, ul. Generała Józefa Zajączka 1, 11-500"
Santander Bank Polska Spółka Akcyjna,15000002,"Warszawa, ul. Kasprzaka 2/8, 01-211"
Bank Polska Kasa Opieki Spółka Akcyjna,12405950,"Warszawa, Aleja Jana Pawła II 29, 00-867"
Bank Rumia Spółdzielczy,93241018,"Czarna Dąbrówka, ul. Gdańska 5, 77-116"
BNP Paribas Bank Polska Spółka Akcyjna,20300045,"Kraków, ul. Armii Krajowej 28, 30-150"
Bank Spółdzielczy w Lubyczy Królewskiej,96171015,"Ulhówek, ul. Kościelna 1/2, 22-678"
Bank Spółdzielczy w Białej Podlaskiej,80251046,"Janów Podlaski, ul. 1 Maja 16, 21-505"
Bank Polska Kasa Opieki Spółka Akcyjna,12405413,"Sopot, ul. Mikołaja Reja 13/15, 81-874"
Żuławski Bank Spółdzielczy,83040005,"Nowy Staw, ul. Rynek Kazimierza Pułaskiego 2, 82-230"
Bank Spółdzielczy w Bytowie,93210001,"Bytów, ul. Wojska Polskiego 33, 77-100"
Bank Spółdzielczy w Kobierzycach,95751014,"Łagiewniki, ul. Wrocławska 5, 58-210"
Bank Polska Kasa Opieki Spółka Akcyjna,12401835,"Słupsk, ul. 11 Listopada 3, 76-200"
Bank Polska Kasa Opieki Spółka Akcyjna,12405947,"Gdynia, ul. Kartuska 9, 81-044"
Bank Spółdzielczy w Tomaszowie Lubelskim,96200005,"Łaszczów, ul. 3 Maja 13, 22-650"
Bank Spółdzielczy w Wąchocku,85230004,"Wąchock, ul. Wielkowiejska 1A, 27-215"
Bank Spółdzielczy w Łochowie,92330001,"Łochów, al. Pokoju 54, 07-130"
BNP Paribas Bank Polska Spółka Akcyjna,16001273,"Kielce, ul. Warszawska 143D, 25-547"
Narodowy Bank Polski,10101401,"Opole, ul. ks. Konstantego Damrota 2b, 45-950"
Bank Spółdzielczy Ziemi Kraśnickiej  w Kraśniku,87171080,"Trzydnik, Trzydnik 15, 23-230"
Bank Polska Kasa Opieki Spółka Akcyjna,12402933,"Gdynia, ul. Świętojańska 47, 81-391"
DNB Bank Polska Spółka Akcyjna,13701095,"Warszawa, ul. Postępu 15C, 02-676"
DNB Bank Polska Spółka Akcyjna,13701369,"Warszawa, ul. Postępu 15C, 02-676"
mBank Spółka Akcyjna,11401977,"Warszawa, ul. Cybernetyki 7A, 02-677"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10203088,"Leszno, ul. Sikorskiego 7A, 64-100"
John Deere Bank S.A. Spółka Akcyjna Oddział w Polsce ,27500006,"Poznań, ul. Kolorowa 2, 60-198"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,14401257,"Warszawa, ul. Chłodna 52, 00-872"
Alior Bank Spółka Akcyjna,24901073,"Warszawa, ul. Łopuszańska 38D, 02-232"
Kaszubski Bank Spółdzielczy,83500004,"Wejherowo, ul. Pucka 5, 84-200"
Bank Spółdzielczy Ziem Górskich KARPATIA,81401019,"Milówka, ul. Jagiellońska 9, 34-360"
Nadobrzański Bank Spółdzielczy w Rakoniewicach,90811016,"Wolsztyn, ul. 5 Stycznia 28, 64-200"
Bank Polska Kasa Opieki Spółka Akcyjna,12402483,"Kraśnik, ul. Ignacego Krasickiego 4, 23-210"
Lubuski Bank Spółdzielczy,83670000,"Międzyrzecz, ul. Kazimierza Wielkiego 24, 66-300"
Bank Polska Kasa Opieki Spółka Akcyjna,12405598,"Olsztyn, ul. Dąbrowszczaków 11, 10-540"
BNP Paribas Bank Polska Spółka Akcyjna,20000017,"Kraków, ul. Armii Krajowej 28, 30-150"
Bank Spółdzielczy w Zambrowie,87750009,"Zambrów, ul. Białostocka 2, 18-300"
Santander Bank Polska Spółka Akcyjna,10901623,"Gorzów Wielkopolski, ul. Gen.Wł.Sikorskiego 24, 66-400"
BNP Paribas Bank Polska Spółka Akcyjna,16001101,"Lublin, ul. Krakowskie Przedmieście 49, 20-076"
ING Bank Śląski Spółka Akcyjna,10501911,"Zielona Góra, ul. Bohaterów Westerplatte 19, 65-034"
Bank Polska Kasa Opieki Spółka Akcyjna,12406407,"Pruszków, al. Wojska Polskiego 23, 05-800"
Bank Spółdzielczy w Ząbkowicach Śląskich,95331056,"Niemcza, Rynek 10, 58-230"
Bank Spółdzielczy w Dzierzgoniu,83100002,"Dzierzgoń, ul. Wojska Polskiego 4, 82-440"
mBank Spółka Akcyjna,11401108,"Łódź, ul. Jana Kilińskiego 74, 90-119"
Bank Polska Kasa Opieki Spółka Akcyjna,12401691,"Ostrołęka, ul. Bogusławskiego 23, 07-400"
Bank Spółdzielczy w Szczytnie,88381060,"Pasym, ul. Krótka 1, 12-130"
Bank Millennium Spółka Akcyjna,14701054,"Wrocław, ul. św. Mikołaja 72, 50-126"
Bank Spółdzielczy w Grębocinie,94910003,"Grębocin, ul. Lubicka 2, 87-122"
Bank Polska Kasa Opieki Spółka Akcyjna,12403028,"Łódź, ul. Piotrkowska 288, 93-034"
Bank Polska Kasa Opieki Spółka Akcyjna,12404012,"Wrocław, ul. Ruska 51A, 50-079"
Bank Polska Kasa Opieki Spółka Akcyjna,12401978,"Świdnica, Rynek 30, 58-100"
Santander Bank Polska Spółka Akcyjna,10902604,"Ciechanów, ul. Pułtuska 4/6, 06-400"
Bank Spółdzielczy w Prudniku,89050000,"Prudnik, ul. Kościuszki 12, 48-200"
Santander Bank Polska Spółka Akcyjna,15001360,"Bydgoszcz, ul. Gdańska 128, 85-022"
Bank Polska Kasa Opieki Spółka Akcyjna,12402702,"Mińsk Mazowiecki, ul. Warszawska 133, 05-300"
Bank Handlowy w Warszawie Spółka Akcyjna,10300006,"Warszawa, ul. Senatorska 16, 00-923"
Santander Bank Polska Spółka Akcyjna,15001689,"Skierniewice, ul. Konstytucji 3 Maja 2, 96-100"
DNB Bank Polska Spółka Akcyjna,13701398,"Warszawa, ul. Postępu 15C, 02-676"
mBank Spółka Akcyjna,11401629,"Aleksandrów Łódzki, ul. Piotrkowska 22, 95-070"
Bank Polska Kasa Opieki Spółka Akcyjna,12402021,"Dzierżoniów, ul. Rynek 17, 58-200"
Bank Spółdzielczy Ziemi Łowickiej w Łowiczu,92881040,"Godzianów, ul. Klonowa 3, 96-126"
Bank Spółdzielczy w Nowej Soli,96741016,"Bytom Odrzański, ul. Szkolna 1, 67-115"
Bank Polska Kasa Opieki Spółka Akcyjna,12401242,"Sopot, ul. Mikołaja Reja 13/15, 81-874"
Bank Polska Kasa Opieki Spółka Akcyjna,12406452,"Bydgoszcz, ul. Trybunalska 2, 85-950"
Bank Spółdzielczy w Łosicach,80440004,"Platerów, ul. 3 Maja 20, 08-210"
Santander Bank Polska Spółka Akcyjna,15001575,"Opole, ul. 1 Maja 1, 45-068"
Bank Spółdzielczy w Szczuczynie,87681013,"Grajewo, ul. Wojska Polskiego 18, 19-200"
Santander Bank Polska Spółka Akcyjna,10902590,"Wrocław, ul. Strzegomska 8/10, 53-611"
Santander Bank Polska Spółka Akcyjna,10901737,"Poznań, ul. Gronowa 22, 61-680"
Bank Handlowy w Warszawie Spółka Akcyjna,10301247,"Poznań, pl. Wolności 4, 61-738"
Santander Bank Polska Spółka Akcyjna,10902587,"Białystok, ul. M.Skłodowskiej-Curie 2, 15-097"
Bank Rumia Spółdzielczy,93240008,"Łeba, ul. 1 Maja 1B, 84-360"
Bank Spółdzielczy w Środzie Śląskiej,95890003,"Środa Śląska, ul. Wrocławska 2, 55-300"
Bank Polska Kasa Opieki Spółka Akcyjna,12403871,"Łobez, ul. Kościuszki 26, 73-150"
Santander Bank Polska Spółka Akcyjna,15001751,"Toruń, ul. Grudziądzka 74/76, 87-100"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10203958,"Bełchatów, ul. Wojska Polskiego 65, 97-400"
Bank Pocztowy Spółka Akcyjna,13201830,"Bydgoszcz, ul. Jagiellońska 17, 85-959"
Bank Polska Kasa Opieki Spółka Akcyjna,12402728,"Garwolin, ul. Kościuszki 32, 08-400"
Bank Polska Kasa Opieki Spółka Akcyjna,12406276,"Warszawa, ul. Dereniowa 9, 02-776"
Bank Pocztowy Spółka Akcyjna,13200051,"Bydgoszcz, ul. Jagiellońska 17, 85-959"
Santander Bank Polska Spółka Akcyjna,10902486,"Wrocław, ul. Widna 2a, 50-545"
Bank Spółdzielczy w Olecku,93390006,"Olecko, ul. Cicha 2, 19-400"
Bank Spółdzielczy w Niemcach,87020001,"Niemce, ul. Lubelska 190, 21-025"
"Bank Spółdzielczy ""MAZOWSZE"" w Płocku",90421039,"Słubice, ul. Płocka 36, 09-533"
Santander Bank Polska Spółka Akcyjna,10901450,"Swarzędz, ul. Dworcowa 7, 62-020"
Mazowiecki Bank Spółdzielczy w Łomiankach,80091059,"Łomianki, ul. Szpitalna 8, 05-092"
Santander Bank Polska Spółka Akcyjna,15001373,"Chełm, ul. Lwowska 8/10, 22-100"
Bank Polska Kasa Opieki Spółka Akcyjna,12406074,"Warszawa, ul. ks. Ignacego Kłopotowskiego 15, 03-708"
ING Bank Śląski Spółka Akcyjna,10500132,"Katowice, ul. Sokolska 34, 40-086"
Spółdzielcza Kasa Oszczędnościowo-Kredytowa ENERGIA,70030006,"Kozienice, ul. Hamernicka 4/1, 26-900"
ING Bank Śląski Spółka Akcyjna,10501269,"Czeladź, ul. Bytomska 2, 41-250"
Bank Spółdzielczy w Chojnowie,86440000,"Chojnów, Rynek 18/19, 59-225"
Nadwarciański Bank Spółdzielczy w Działoszynie,92511019,"Osjaków, ul. Targowa 26, 98-320"
Bank Spółdzielczy w Słomnikach,86140001,"Słomniki, ul. Żeromskiego 1A, 32-090"
Bank Spółdzielczy w Tomaszowie Lubelskim,96390009,"Tomaszów Lubelski, ul. Orzeszkowej 2, 22-600"
Rejonowy Bank Spółdzielczy w Lututowie,90290000,"Łęczyca, ul. Marii Konopnickiej 12, 99-100"
Bank Polska Kasa Opieki Spółka Akcyjna,12405338,"Działdowo, pl. Mickiewicza 2/3, 13-200"
Żuławski Bank Spółdzielczy,83060003,"Nowy Dwór Gdański, ul. Sikorskiego 52, 82-100"
Bank Pocztowy Spółka Akcyjna,13202071,"Bydgoszcz, ul. Jagiellońska 17, 85-959"
Alior Bank Spółka Akcyjna,24901031,"Warszawa, ul. Łopuszańska 38D, 02-232"
Bank Spółdzielczy w Mokobodach,91930008,"Mokobody, ul. Siedlecka 16, 08-124"
Santander Bank Polska Spółka Akcyjna,10902369,"Świdnica, ul. 1000-lecia Państwa Polskiego 1, 58-100"
Bank Millennium Spółka Akcyjna,14701041,"Wrocław, ul. św. Mikołaja 72, 50-126"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,14401358,"Warszawa, ul. Chłodna 52, 00-872"
Bank Spółdzielczy w Olkuszu w likwidacji,84490003,"Olkusz, ul. Kolejowa 1, 32-332"
Bank Polska Kasa Opieki Spółka Akcyjna,12406641,"Przeźmierowo, ul. Rynkowa 75C, 62-081"
Bank Spółdzielczy w Oleśnicy,95841106,"Kostomłoty, ul. Rynek 26, 55-311"
Bank Spółdzielczy w Bydgoszczy,81420007,"Bydgoszcz, ul. Kołłątaja 8, 85-080"
Łódzki Bank Spółdzielczy,87840003,"Łódź, ul. Żeromskiego 68, 90-502"
Bank Polska Kasa Opieki Spółka Akcyjna,12406146,"Warszawa, ul. ks. Ignacego Kłopotowskiego 15, 03-708"
mBank Spółka Akcyjna,11401124,"Poznań, ul. Franklina Roosevelta 22, 60-829"
Bank Spółdzielczy w Tarnobrzegu,94340002,"Tarnobrzeg, ul. Sokola 12, 39-400"
Bank Polska Kasa Opieki Spółka Akcyjna,12404100,"Warszawa, ul. Puławska 54/56, 02-592"
mBank Spółka Akcyjna,11401153,"Gdynia, ul. Zygmuntowska 4, 81-371"
Bank Spółdzielczy w Jedwabnem,87520006,"Jedwabne, ul. Wojska Polskiego 1, 18-420"
Bank Spółdzielczy w Łańcucie,91771018,"Gać, Gać 354, 37-207"
Santander Bank Polska Spółka Akcyjna,15002149,"Lublin, ul. Tomasza Zana 38, 20-601"
SGB-Bank Spółka Akcyjna,16101016,"Bydgoszcz, ul. Jana Karola Chodkiewicza 89/91, 85-950"
DNB Bank Polska Spółka Akcyjna,13701109,"Warszawa, ul. Postępu 15C, 02-676"
Bank Spółdzielczy w Białej Rawskiej,92910001,"Biała Rawska, ul. Jana Pawła II 38, 96-230"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10204580,"Skierniewice, ul. Rawska 3/9, 96-100"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,14401387,"Warszawa, ul. Chłodna 52, 00-872"
Bank Handlowy w Warszawie Spółka Akcyjna,10301159,"Katowice, ul. Sokolska 29, 40-086"
Spółdzielczy Bank Ludowy w Kępnie,84131049,"Łęka Opatowska, ul. Akacjowa 4, 63-645"
ING Bank Śląski Spółka Akcyjna,10501230,"Bytom, ul. Wrocławska 32, 41-902"
Bank Spółdzielczy w Kłobucku,82490001,"Wręczyca Wielka, ul. 3 Maja 2, 42-130"
Santander Bank Polska Spółka Akcyjna,10901102,"Gdynia, ul. 10 Lutego 11, 81-366"
Nest Bank Spółka Akcyjna,18701029,"Warszawa, ul. Domaniewska 39A, 02-672"
Bank Spółdzielczy w Tczewie,83451029,"Żukowo, ul. Kościerska 9, 83-330"
Bank Polska Kasa Opieki Spółka Akcyjna,12406612,"Poznań, ul. Roosevelta 18, 60-829"
Bank Spółdzielczy w Dąbrowie Tarnowskiej,94620003,"Dąbrowa Tarnowska, ul. Jagiellońska 1A, 33-200"
BNP Paribas Bank Polska Spółka Akcyjna,16001127,"Warszawa, ul. Wołoska 9, 02-583"
Bank Spółdzielczy w Dobczycach,86020000,"Dobczyce, ul. Kilińskiego 2, 32-410"
ING Bank Śląski Spółka Akcyjna,10501517,"Kędzierzyn-Koźle, ul. Piastowska 14, 47-200"
Bank Spółdzielczy w Kątach Wrocławskich,95741028,"Żórawina, ul. Urzędnicza 11A, 55-020"
Bank Spółdzielczy w Witkowie,85381025,"Przedecz, ul. Waryńskiego 12, 62-635"
BNP Paribas Bank Polska Spółka Akcyjna,16001143,"Łódź, al. marsz. Józefa Piłsudskiego 76, 90-330"
"Spółdzielcza Kasa Oszczędnościowo-Kredytowa ""Wisła""",70520002,"Puławy, ul. Centralna 21, 24-100"
Bank Spółdzielczy w Mszczonowie,93021027,"Rawa Mazowiecka, ul. Krakowska 6, 96-200"
Bank Spółdzielczy w Skórczu,83420009,"Skórcz, ul. Główna 40A, 83-220"
ING Bank Śląski Spółka Akcyjna,10501214,"Katowice, ul. Sokolska 34, 40-086"
Santander Bank Polska Spółka Akcyjna,10902789,"Augustów, ul. Żabia 9/1, 16-300"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10202472,"Rybnik, ul. 3 Maja 30, 44-200"
Bank Spółdzielczy w Grębowie,94070000,"Grębów, ul. Rynek 1A, 39-410"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10200205,"Poznań, os. Bolesława Śmiałego 121, 60-682"
Bank Spółdzielczy w Namysłowie,88901053,"Lasowice Małe, ul. Odrodzenia 18, 46-280"
ING Bank Śląski Spółka Akcyjna,10500044,"Katowice, ul. Murckowska 16B, 40-265"
ING Bank Śląski Spółka Akcyjna,10501256,"Czechowice-Dziedzice, ul. Niepodległości 10, 43-502"
Nadsański Bank Spółdzielczy,94301058,"Nowa Sarzyna, ul. Kościuszki 11, 37-310"
Santander Bank Polska Spółka Akcyjna,10901678,"Grudziądz, al. 23 Stycznia 42, 86-300"
Santander Bank Polska Spółka Akcyjna,10902167,"Głuchołazy, ul. Marii Skłodowskiej-Curie 22, 48-340"
Morąsko-Zalewski Bank Spółdzielczy,88430003,"Morąg, ul. Pomorska 21/2, 14-300"
Bank Polska Kasa Opieki Spółka Akcyjna,12403031,"Łódź, ul. Sienkiewicza 85/87, 90-057"
Bank Spółdzielczy w Świdnicy,95310006,"Świdnica, ul. Długa 9, 58-100"
Bank Polska Kasa Opieki Spółka Akcyjna,12402308,"Kraków, ul. Józefińska 18, 30-529"
Alior Bank Spółka Akcyjna,13001036,"Warszawa, ul. Łopuszańska 38D, 02-232"
Bank Spółdzielczy w Raszkowie,84300009,"Raszków, ul. Ostrowska 28, 63-440"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,14401202,"Żukowo, ul. Sienkiewicza 12, 83-330"
Alior Bank Spółka Akcyjna,10600252,"Warszawa, ul. Łopuszańska 38D, 02-232"
Bank Spółdzielczy w Rykach,87241028,"Kłoczew, ul. Długa 67, 08-550"
Bank Spółdzielczy w Kłobucku,82591014,"Miedźno, ul. Słoneczna 4, 42-120"
Bank Spółdzielczy w Jutrosinie,86740009,"Jutrosin, Rynek 18, 63-930"
Bank Spółdzielczy w Sokołowie Małopolskim,91820006,"Sokołów Małopolski, Rynek 4, 36-050"
Bank Spółdzielczy w Brodnicy,94841222,"Kwidzyn, ul. Kopernika 5, 82-500"
ING Bank Śląski Spółka Akcyjna,10501171,"Olesno, ul. Rynek 25, 46-300"
mBank Spółka Akcyjna,11402118,"Koszalin, ul. Okrzei 3, 75-203"
ABS Bank Spółdzielczy,81101010,"Wieprz, ul. Centralna 3, 34-122"
Bank Polska Kasa Opieki Spółka Akcyjna,12404966,"Olkusz, ul. Króla Kazimierza Wielkiego 49, 32-300"
Bank Spółdzielczy w Nidzicy,88341022,"Kozłowo, ul. Nidzicka 33, 13-124"
DNB Bank Polska Spółka Akcyjna,13701040,"Warszawa, ul. Postępu 15c, 02-676"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,14401390,"Warszawa, ul. Jana Pawła II 25, 00-872"
Bank Spółdzielczy w Szczytnie,88381057,"Wielbark, ul. Jagiełły 7, 12-160"
Bank Spółdzielczy w Otmuchowie,88920009,"Nysa, ul. Kolejowa 13, 48-300"
Bank Spółdzielczy w Kowalu,95570006,"Kowal, ul. J.Piłsudskiego 42, 87-820"
Powszechna Kasa Oszczędności Bank Polski Spółka Akcyjna,10200074,"Warszawa, ul. Puławska 15, 00-975"
Bank Spółdzielczy w Wieleniu,89600003,"Wieleń, ul. Kościuszki 20, 64-730"
Bank Polska Kasa Opieki Spółka Akcyjna,12405992,"Warszawa, ul. Marszałkowska 89, 00-693"
BNP Paribas Bank Polska Spółka Akcyjna,17501022,"Gdynia, ul. Świętojańska 75, 81-389"
